Tassonomia_Pianta,Tassonomia_Famiglia,Consociazioni_Favorevoli,Rotazioni_Favorevoli,Rotazioni_Sfavorevoli,Rotazioni_Anni,Mezzombra_Tollerata,Distanze_Piante,Distanze_File,Concimazione_Organica,Concimazione_Trapianto,Concimazione_Mensile,Irrigazione_Riduzione,Irrigazione_Sospensione,Irrigazione_Attecchimento
"Scalogno","Liliacee","Lattuga, Carota, Pisello","Cetriolo, Pomodoro","Cavolo, Bietola","3","Sì","15","30","Media","0","0","0","1","Settimanalmente solo in caso di siccità"
"Spinacio","Chenopodiacee","Fagiolo, Cipolla, Carciofo","Cavolo, Insalate, Zucchine","Bietola, Spinacio","2","Sì","5","25","Media","0","0","0","0","Irrigazioni frequenti evitando i ristagni"
"Valeriana","Valerianacee","Lattuga, Cicoria, Porro","","Valerinacee","2","Sì","5","25","Media","0","0","0","0","Irrigazioni frequenti evitando i ristagni"
"Zucca","Cucurbitacee","Sedano, Finocchio, Cavolo","Legumi, Lattuga","Zucchino, Pomodoro","3","No","100","200","Media","1","1","0","1","Abbondare a inizio allegagione e ingrossamento dei frutti"
"Anguria","Cucurbitacee","Lattuga, Cipolla, Sedano","Legumi, Composite","Cucurbitacee","4","No","100","200","Abbondante","1","1","0","1","Abbondare a inizio allegagione e ingrossamento dei frutti"
"Asparago","Asparagacee","Lattuga, Spinacio, Fagiolino","Mais, Fragola","Patata, Carota, Asparago","7","Sì","30","100","Abbondante","1","0","0","0","Settimanalmente nei periodi asciutti"
"Carciofo","Composite","Lattuga, Spinacio, Ravanello","Solanacee, Bietola","Cardo, Carciofo","5","No","100","100","Abbondante","1","0","0","0","Settimanalmente, in fase di produzione, in caso di siccità"
"Cardo","Composite","Lattuga, Spinacio, Ravanello","Solanacee, Bietola","Cardo, Carciofo","4","No","100","100","Abbondante","1","1","0","0","Frequenti evitando i ristagni nei periodi caldi e siccitosi"
"Cavolo","Crucifere","Finocchio, Sedano, Lattuga","Lattuga, Cipolla, Legumi","Solanacee, Ombrellifere","2","Sì","40","50","Abbondante","1","1","1","0","Irrigazioni frequenti con volumi non eccessivi"
"Cetriolo","Cucurbitacee","Lattuga, Sedano, Cipolla","Legumi","Cucurbitacee","3","Estate","40","100","Abbondante","1","1","0","0","Irrigazioni frequenti con volumi non eccessivi"
"Finocchio","Ombrellifere","Lattuga, Cavolo, Spinacio","Legumi","Ombrellifere, Chenopodiacee","3","No","25","40","Abbondante","1","1","1","0","Irrigazioni frequenti evitando i ristagni"
"Mais","Graminacee","Zucca, Pomodoro, Lattuga","Legumi","Graminacee","3","No","25","30","Abbondante","1","1","0","0","Alla formazione e ingrossamento della pannocchia"
"Melanzana","Solanacee","Lattuga, Fagiolino, Cavolo","Cicoria, Lattuga, Chenopodiacee, Legumi","Solnacee, Cucurbitacee","4","No","40","100","Abbondante","1","1","0","0","Teme carenza e ristagni. innestata è meno delicata"
"Melone","Cucurbitacee","Lattuga, Cavolo, Finocchio","Legumi","Cucurbitacee","4","No","80","150","Abbondante","1","1","0","1","Abbondare a inizio allegagione e fine ingrossamento"
"Peperone","Solanacee","Lattuga, Cavolo, Finocchio","Cicoria, Lattuga, Chenopodiacee, Legumi","Solanacee","4","Estate","40","100","Abbondante","1","1","0","0","Teme carenza e ristagni. consigliata baulatura"
"Pomodoro","Solanacee","Lattuga, Sedano, Pisello","Cicoria, Lattuga, Chenopodiacee, Legumi","Cucurbitacee, Asparago","3","No","40","100","Abbondante","1","1","1","0","Abbondare nei periodi siccitosi"
"Porro","Liliacee","Cavolo, Sedano, Finocchio","Cavolo, Cetriolo, Pomodoro","Liliacee","3","Estate","15","30","Abbondante","1","1","1","0","Irrigazioni frequenti evitando i ristagni"
"Sedano","Ombrellifere","Melanzana, Pomodoro, Porro","Legumi","Ombrellifere, Chenopodiacee","3","Sì","25","40","Abbondante","1","1","1","0","Irrigazioni frequenti evitando i ristagni"
"Zucchino","Cucurbitacee","Lattuga, Ravanello, Spinacio","Legumi, Lattuga, Cavoli","Cucurbitacee, Pomodoro","3","No","80","120","Abbondante","1","1","0","0","Abbondare a giorni alterni nei periodi molto caldi"
