Info_Codice,Info_IDVar,Info_Pack,Tassonomia_Famiglia,Tassonomia_Genere,Tassonomia_Specie,Tassonomia_Varieta,Classificazione_Pianta,Classificazione_Ortaggio,Classificazione_Varieta,Trapianto_Mesi,Distanze_Piante,Distanze_Piante_Range,Distanze_File,Raccolta_Min,Raccolta_Max,Raccolta_Udm,Produzione_Peso,Produzione_Range,Produzione_Udm,Booleans_Perenne,Booleans_Mezzombra,Booleans_F1,Descrizione
H030,620,6,Lamiacee,Ocimum,basilicum,,Basilico,Basilico,Italiano,111111111110,20,0,30,30,30,giorni,2500,0,g/mq,0,1,0,"Il vero basilico italiano, quello per il pesto e per condire la pasta e la pizza. Varietà dall’aroma insuperabile, con pianta compatta, ideale per il rapido utilizzo in cucina. Coltivato in giardino, sul balcone o vicino al vetro della cucina, nei periodi più freddi. Irrigare senza bagnare la vegetazione. All’emissione dei boccioli, cimare le piante,per garantire un’abbondante produzione di foglie. Concimare ogni 2 settimane, con fertilizzante bio liquido, reperibile presso le rivendite di piantine Orto Mio. Sostituire le piante quando sono esaurite o colpite da Peronospora."
H031,730,6,Lamiacee,Ocimum,basilicum,,Basilico,Basilico,Resistente alla peronospora,111111111110,20,0,30,30,30,giorni,2500,0,g/mq,0,1,0,"Finalmente una nuova varietà di basilico, dall’aroma tradizionale, che ne facilita la coltivazione! Il basilico Da Vinci è naturalmente resistente alla Peronospora, la muffa grigiastra delle foglie che lo porta alla morte. Questa varietà viene colpita dal fungo più tardivamente rispetto alle varietà non resistenti, permettendo un raccolto più prolungato. Rispetto alle altre varietà, fiorisce più tardivamente e ricaccia velocemente dopo il taglio. Irrigare senza bagnare la vegetazione. Prima della fioritura, cimare le piante, per garantire un’abbondante produzione di foglie. Concimare ogni 2 settimane, con concime bio liquido."
H046,779,6,Chenopodiacee,Beta,vulgaris,,Bietola,Bietola,Da costa barese da cespo,000000111100,20,0,35,60,60,giorni,2000,0,g/mq,0,1,0,"Varietà pregiata, con foglie e coste spesse e carnose. Si raccoglie in cespo in autunno e inverno. La vegetazione contenuta, ne facilita la consociazione con gli altri ortaggi. Tra le specie con le quali si può consociare: lattuga, cipollotto, carota e tutti i cavoli."
H041,622,6,Chenopodiacee,Beta,vulgaris,,Bietola,Bietola,Da costa bionda a costa argentata,011111100000,25,0,40,30,60,giorni,2000,0,g/mq,0,1,0,"Bietola dalla foglia verde biondo, con coste bianche e carnose. Pianta vigorosa di facile coltivazione. Si raccoglie dopo 30- 60 giorni dal trapianto, tagliando l’intero cespo o sfogliando la pianta a partire dalle coste esterne."
H040,621,6,Chenopodiacee,Beta,vulgaris,,Bietola,Bietola,Da costa verde a costa bianca,111111111110,25,0,40,30,60,giorni,3000,0,g/mq,0,1,0,"È la bietola classica, con foglia scura e coste larghe e carnose. La pianta compatta facilita la coltivazione anche nei piccoli orti. Si raccoglie dopo 30- 60 giorni dal trapianto, tagliando l’intero cespo o sfogliando la pianta a partire dalle coste esterne."
H043,623,6,Chenopodiacee,Beta,vulgaris,,Bietola,Bietola,Erbette da taglio,011111111110,10,0,30,15,15,giorni,3000,0,g/mq,0,1,0,"Bietolina da taglio, tenera e dal sapore molto gradevole. Si trapiantano molte piantine, fitte, contemporaneamente. Permette di effettuare molti raccolti dalle stesse piantine, a distanza di pochi giorni. Si consuma in tante ricette, da cotta e cruda in insalate miste."
H044,624,6,Chenopodiacee,Beta,vulgaris,,Bietola,Bietola,Multicolore,001111111110,25,0,30,15,60,giorni,1000,0,g/mq,0,1,1,"Selezione di bietole multicolori con tutti i colori della salute! Si possono trapiantare fitte, per raccolta come bietoline o alla distanza classica per raccolta da cespo. Si consuma in tante ricette, da cotta, è ottima e molto decorativa anche cruda in insalate miste."
H105,662,6,Crucifere,Brassica,oleracea,b.,Cavolo,Broccolo,Calabrese autunnale,000011011100,40,0,50,65,65,giorni,1000,0,g/unità,0,0,1,"Varietà di broccolo con teste di ottime dimensioni. È naturalmente resistente ad Ernia del cavolo; indispensabile nei terreni infetti da questo fungo. Ciclo di raccolta precoce, a circa 65 gg dal trapianto. Sapore delicato."
H070,115,6,Crucifere,Brassica,oleracea,b.,Cavolo,Broccolo,Calabrese precoce,111111111110,40,0,50,60,60,giorni,1000,0,g/unità,0,0,1,"Varietà di facile coltivazione, in grado di produrre ricacci in abbondanza dopo la prima raccolta. È pronto a circa 60 giorni dal trapianto. Colore verde scuro e teste compatte. Grande qualità. Sapore deciso, eccellente in cucina."
H073,116,6,Crucifere,Brassica,oleracea,b.,Cavolo,Broccolo,Calabrese tardivo,000001111110,40,0,50,75,75,giorni,1000,0,g/unità,0,0,1,"Varietà sana e produttiva, dopo il primo raccolto produce ricacci in abbondanza. Si raccoglie a circa 75 giorni dal trapianto. Broccolo con grana fine e teste di medie dimensioni. Ottime caratteristiche organolettiche."
H075,117,6,Crucifere,Brassica,rapa,cymosa,Cavolo,Broccolo,Da getti,000011111100,40,0,50,110,110,giorni,500,0,g,0,0,0,"Rinomato prodotto tipico vicentino detto anche “Broccolo Fiolaro di Creazzo”. La pianta dal fusto emette dei getti, chiamati “fioi”. La raccolta si protrae da novembre a febbraio ma i più saporiti sono quelli delle prime gelate. Si consumano saltati in padella o trasformati in crema per condire risotti straordinari. Vera prelibatezza in cucina."
H079,119,6,Crucifere,Brassica,oleracea,a.,Cavolo,Broccolo,Lavagnino,000001111100,40,0,50,75,75,giorni,500,0,g,0,0,0,"Varietà caratteristica toscana, con pianta di medio vigore. Gustoso raccolto dopo i primi freddi. Ottimo bollito, accompagnato con patate e condito con l’olio."
H06C,782,6,Crucifere,Brassica,rapa,cymosa,Cavolo,Broccolo,Spigariello napoletano,000000111100,40,0,50,90,90,giorni,2000,0,g,0,0,0,"Ricercata varietà, tipica della tradizione campana, noto anche come “minestra nera”. Dal fusto della pianta, molto vigorosa, si originano tanti teneri ricacci, che si raccolgono per un periodo prolungato, iniziando a 70-90 giorni dal trapianto. Si può utilizzare in tante ricette, come zuppe e minestre, ma è ottimo anche stufato e come condimento di pasta e polenta. Nell’orto si può consociare con bietola, spinacio, sedano, pomodoro, porro, cavolo rapa."
H06E,806,6,Crucifere,Brassica,oleracea,a.,Cavolo,Broccolo,Violetto,001111000000,40,0,50,80,100,giorni,300,0,g/unità,0,0,1,"I "purple broccoli" sono cavoli dalle eccezionali proprietà nutritive. Teneri, con gusto di asparagi, hanno sapore tra i più gradevoli tra tutti i cavoli. Prolungano la disponibilità dei broccoli dall'autunno inoltrato all'inverno. Le piante, vigorose e aperte, emettono una moltitudine di broccoletti color violetto a racccolta prolungata, dei quali si utilizzano in cucina anche i gambi. Si consuma sia cotto che crudo."
H10Z,731,4,Cucurbitacee,Cucumis,melo,adzhur,Melone,Carosello,Barattiere,001111000000,40,0,100,60,70,giorni,3000,1000,g,0,1,0,"Conosciuto anche come “tondo di Fasano”, negli ultimi anni è sempre più richiesto, anche fuori dagli areali d’origine. Non è un vero cetriolo, ma lo sostituisce in molti piatti, dove si fa apprezzare per la freschezza e l’assenza di sapore amaro. Si raccoglie alle dimensioni di una palla da tennis. Utili i trattamenti preventivi contro ilmal bianco, a base di zolfo (bio)."
H10F,805,4,Cucurbitacee,Cucumis,melo,adzhur,Melone,Carosello,Meloncella,001111000000,40,0,100,60,70,giorni,3000,1000,g,0,1,0,"Nota anche come "cummarazzi" o "carosello salentino", la Meloncella o spuredda è tra le eccellenze pugliesi più interessanti e ricercate nella stagione estiva. Molto affine al melone, produce frutti scuri striati, allungati, con polpa soda, croccante, digeribile e rinfrescante. Ideale per il consumo in insalata, al posto del cetriolo, oppure comeantipasto, con la pasta fredda e anche in accompagnamento ai piatti al posto del pane."
H052,619,16,Ombrellifere,Daucus,carota,,Carota,Carota,Nantese,011111111100,5,0,25,40,40,giorni,2000,0,g/mq,0,1,1,"Carota dal sapore dolce, ricca in beta carotene. Trapiantare in terreno sof ice e ben drenato, lavorato fino a 30 cm di profondità. Evitare i ristagni idrici."
H049,671,16,Ombrellifere,Daucus,carota,,Carota,Carota,Viola,001111000000,5,0,25,40,40,giorni,1500,0,g/mq,0,1,1,"Carota con altissimo contenuto di antociani, preziosi antiossidanti. Trapiantare in terreno soffice e ben drenato, lavorato fino a 30 cm di profondità. Evitare i ristagni idrici."
H345,214,9,Composite,Cichorium,intybus,,Cicoria,Catalogna,Gigante,011111111111,30,0,40,60,60,giorni,1000,0,g/unità,0,0,1,"Varietà coltivabile durante tutto l’anno grazie alla grande resistenza alla salita a seme. Pianta eretta e vigorosa, con costa larga bianca. Si raccoglie in 60 giorni dal trapianto e pesa fino a oltre 1 kg. Si consuma saltata in padella, bollita in sformati e torte salate. Le giovani coste del cuore, dopo la legatura sono buone in pinzimonio."
H098,161,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Arancione,000001111000,40,0,50,90,90,giorni,1000,0,g/unità,0,0,1,"Ottima varietà di cavolfiore con infiorescenza di colore arancio. Ricco di B carotene. Si raccoglie a circa 80 giorni dal trapianto."
H061,150,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Autunnale,000011111100,40,0,50,85,85,giorni,1500,0,g/unità,0,0,1,"Varietà affermata di facile coltivazione, trapiantabile da giugno fino a settembre. Si raccoglie a circa 90 giorni dal trapianto. Ciclo di maturazione medio-precoce. Eccezionale qualità del fiore, compatto di un bellissimo colore bianco latte molto protetto dal fogliame. Peso che può raggiungere e superare i 2 kg. Pianta vigorosa e rustica."
H060,149,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Estivo,000011110000,40,0,50,75,75,giorni,1500,0,g/unità,0,0,1,"Splendida varietà di cavolfiore, coltivabile da maggio a settembre, con raccolta a circa 80 giorni dal trapianto. Pianta di facile coltivazione vigorosa e sana, tra le più resistenti alle alte temperature. Poco suscettibile alle malattie, ha un pomo bianco molto bello e compatto, che può superare il peso di 1,5 kg."
H063,155,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Fanese di marzo,000000111110,60,0,50,200,200,giorni,1700,0,g/unità,0,0,1,"Varietà per raccolta alla fine dell’inverno. Si coltiva da luglio fino a settembre. Si raccoglie a circa 200 giorni dal trapianto. Maturazione tardiva. Ottima qualità del fiore, a grana molto fine, di un bellissimo colore bianco latte che è molto ben protetto dal fogliame. Peso di oltre 1,5 kg. Si raccoglie a fine inverno-primavera, ottima resistenza al gelo."
H062,153,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Invernale,000000111110,50,0,50,110,110,giorni,1500,0,g/unità,0,0,1,"Nuova eccellente varietà di cavolfiore per raccolta invernale, si coltiva da luglio fino a settembre. Si raccoglie a circa 110 giorni dal trapianto. Maturazione medio-tardiva. Eccezionale qualità del fiore, compatto di un bellissimo colore bianco puro molto protetto dal fogliame. Peso che può raggiungere i 2 kg. Pianta vigorosa e rustica."
H108,718,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Lilla,000001111100,40,0,50,85,85,giorni,1200,0,g/unità,0,0,1,"Bel color lilla che diventa violetto se cotto e di color fucsia quando viene condito con aceto. Da crudo si presta ad arricchire le insalate. Si raccoglie a 90 giorni dal trapianto."
H066,160,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Macerata precoce,000111111100,50,0,50,80,80,giorni,1300,0,g/unità,0,0,1,"Bel cavolfiore dalla pianta vigorosa, facile da coltivare. Si raccoglie a circa 80-90 giorni dal trapianto. Richiede più spazio rispetto ai cavolfiori classici."
H103,605,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Macerata tardivo,000001111100,50,0,50,100,100,giorni,1000,0,g/unità,0,0,1,"Cavolfiore per raccolta tardiva con pianta vigorosa, facile da coltivare. Si raccoglie a circa 110-120 giorni dal trapianto. Richiede più spazio rispetto ai cavolfiori classici."
H069,151,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Novembrino,000001111110,50,0,50,90,90,giorni,2000,0,g/unità,0,0,1,"Nuova varietà molto af ermata sul mercato professionale per raccolta dal tardo autunno ad inizio inverno, a circa 100 giorni dal trapianto. Pianta vigorosa, robusta e molto sana. Il pomo è bianco puro, con grana molto fine, ben protetto dalle foglie. Può superare il peso di 1,5 Kg."
H059,152,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Palla di neve o Natalino,000001111110,50,0,50,100,100,giorni,1500,0,g/unità,0,0,1,"Questa bella varietà di cavolfiore, si coltiva da luglio fino a settembre. Si raccoglie a 105 giorni dal trapianto. Pianta di ottimo vigore, per raccolta invernale, con ciclo di maturazione medio-tardiva. Eccezionale qualitàdel fiore, compatto di un bellissimo colore bianco molto protetto dal fogliame. Può superare il peso di 1,5 kg."
H058,148,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Per zone montane,000011111100,40,0,50,90,90,giorni,1000,0,g/unità,0,0,1,"Varietà consigliata per zone montane, coltivabile da maggio a luglio inoltrato. Si raccoglie a circa 90 giorni dal trapianto. Maturazione medio-precoce. Pianta molto rustica. Ottima qualità del fiore, compatto di un bellissimo colore bianco latte molto protetto dal fogliame. Peso di 1,5 kg. Pianta vigorosa e rustica."
H064,147,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Precoce,111111000000,40,0,50,70,70,giorni,1700,0,g/unità,0,0,1,"Varietà di cavolfiore di grande pregio a ciclo di maturazione precoce, in primavera si raccoglie a circa 70 giorni dal trapianto, in autunno dopo 80 giorni. Pianta vigorosa e rustica, molto sana e poco suscettibile alle malattie. Il pomo è ben protetto dalle foglie, compatto e bianchissimo, e può raggiungere il peso di oltre 2 kg."
H101,146,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Resistente all′ernia del cavolo,000000111000,40,0,50,80,80,giorni,1700,0,g/unità,0,0,1,"Varietà resistente all’Ernia delle crucifere. La malattia è dovuta ad un fungo che colpisce le radici provocando ingrossamenti detti ernie. Le piante colpite bloccano l’accrescimento e tendono ad appassire nelle ore calde della giornata. Ciclo di coltivazione con raccolta a circa 85 giorni dal trapianto. Il peso del fiore può superare i 2 kg."
H102,604,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Romanesco invernale,000000111100,50,0,50,140,140,giorni,1000,0,g/unità,0,0,1,"Varietà tardiva per il centro-Italia per raccolta a fine inverno. Ciclo di coltivazione di circa 120-140 giorni. Richiede più spazio rispetto ai cavolfiori classici."
H068,157,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Romanesco precoce,000111111100,40,0,50,90,90,giorni,1000,0,g/unità,0,0,1,"Pianta vigorosa di facile coltivazione con ottima tenuta alle alte temperature. Ciclo di maturazione di circa 80-90 giorni. Richiede più spazio rispetto ai cavolfiori classici."
H087,158,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Romanesco tardivo,000000111100,40,0,50,110,110,giorni,1000,0,g/unità,0,0,1,"Varietà vigorosa per raccolte autunnali. Ciclo di coltivazione di circa 90-110 giorni. Resistente alla Peronospora. Richiede più spazio rispetto ai cavolfiori classici."
H065,154,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Tardivo di febbraio,000000111110,50,0,50,170,170,giorni,1500,0,g/unità,0,0,1,"Varietà tra le più affermate del mercato professionale, per raccolta invernale, si coltiva da luglio fino ad agosto. Si raccoglie a circa 160 giorni dal trapianto. Maturazione tardiva. Eccezionale qualità del fiore, compatto di un bellissimo colore bianco puro molto protetto dal fogliame. Peso di 1,6 kg. Si raccoglie a febbraio, ottima resistenza al gelo."
H104,603,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Tardivo di gennaio,000000111110,40,0,50,120,120,giorni,1500,0,g/unità,0,0,1,"Nuova varietà di cavolfiore a ciclo tardivo, molto apprezzata sui mercati per la sua grande qualità. Si trapianta da luglio ad agosto e si raccoglie a circa 120 giorni dal trapianto. Pianta molto sana e di ottima vigoria, facile da coltivare Pomo che raggiunge 1,5 kg di peso. Ideale per raccolte di gennaio in centro Italia."
H067,156,6,Crucifere,Brassica,oleracea,b.,Cavolo,Cavolfiore,Violetto,000001111100,40,0,50,80,80,giorni,1000,0,g/unità,0,0,1,"Cavolfiore dal bellissimo colore viola intenso, di facile coltivazione. La varietà Graffiti, non più disponibile, è sostituita dalla varietà Purple Queen .Si raccoglie a circa 70 giorni dal trapianto."
H109,703,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Autunnale,000011111000,40,0,50,80,80,giorni,2500,0,g,0,0,1,"NOVITÀ Esclusiva. Dopo il cavolfiore, il broccolo ed il cavolo cinese, ecco anche il cappuccio ideale per chi coltiva nei terreni affetti da Ernia. La naturale resistenza di Betti permette di coltivare senza problemi anche dove la presenza di questo fungo provoca forti problematiche alla coltivazione. Il ciclo è di circa 80 giorni."
H086,127,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Cuore rosso,000011111000,40,0,50,100,100,giorni,1250,250,g,0,0,1,"Nuova varietà in esclusiva caratterizzata da pianta vigorosa e colore viola molto brillante per la ricchezza di antociani. Apprezzato per il sapore molto dolce, è anche estremamente decorativo tagliato in insalata. Si raccoglie a circa 90-110 giorni dal trapianto e può superare i 2 kg di peso. Per raccolta autunnale trapiantare entro metà agosto. La varietà Tinty non è più disponibile, ed è sostituita dalla varietà Mars."
H081,126,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Cuore verde,111111111110,35,0,50,55,55,giorni,1250,250,g/unità,0,0,1,"Varietà precocissima con pianta poco vigorosa. Dolce e croccante. Pronto a circa 55 giorni dal trapianto. Si può raccogliere praticamente tutto l’anno. Testa compatta a cuore di circa 1 kg. Adatto anche a trapianti di fine estate per raccolta fino a marzo. Non lasciare troppo in campo a maturazione per evitare le spaccature."
H089,129,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Da crauto,000111111100,35,0,50,90,90,giorni,1000,0,g,0,0,0,"Cavolo crauto tipico dei balcani, dove è l’ingrediente principale della ricetta tradizionale a base di foglie fermentate. Pianta a ciclo medio tardivo, matura a 100 giorni dal trapianto con foglie di colore verde chiaro, che raggiunge dimensioni di 2 kg."
H06A,702,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Dolce,000011111000,35,0,50,70,70,giorni,2500,500,g/unità,0,0,1,"Nuovo cappuccio piatto, dal sapore sempre dolce ed elevata digeribilità. Consigliato anche per le persone che solitamente non gradiscono i cavoli. È pronto a circa 70 giorni dal trapianto. Pesa fino a 3 kg. Con trapianti a distanze ravvicinate, pesa attorno ad 1,5 kg."
H084,124,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Gigante,000111111110,40,0,50,85,85,giorni,4000,1000,g/unità,0,0,1,"Moderna varietà di cavolo cappuccio di grandi dimensioni e facile coltivazione. La pianta è vigorosa ed ha ciclo di maturazione medio di circa 80 giorni, con ottima resistenza alle spaccature. Grande testa rotonda che può superare i 3,5 kg di peso. Con sesti larghi (50x50cm) e concimazioni generose raggiunge le pezzature più grandi."
H085,125,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Piatto,000011111000,40,0,50,85,85,giorni,2500,500,g/unità,0,0,1,"Varietà vigorosa a ciclo di maturazione medio. Si può raccogliere a circa 80-90 giorni dal trapianto, ma è in grado di restare a lungo in campo in inverno, grazie alla ottima resistenza al freddo ed alle spaccature. Di facile coltivazione, produce cappucci schiacciati di ottima qualità, con peso fino a 3 kg. È naturalmente resistente a malattie fogliari e radicali."
H080,122,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Tondo precoce,111111111110,40,0,50,70,70,giorni,2500,500,g/unità,0,0,1,"Cavolo di medio vigore, di facile coltivazione anche in condizioni sfavorevoli. A maturazione precoce, si raccoglie a circa 60-70 giorni dal trapianto. Ottima resistenza alle spaccature. Testa rotonda, può raggiungere il peso di 2/3 Kg."
H082,128,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Tondo rosso,000001111100,35,0,50,70,70,giorni,1250,250,g/unità,0,0,1,"Cappuccio con foglie color rosso violaceo intenso, di facile coltivazione. Si trapianta da marzo a settembre. Ha pianta compatta, di medio vigore, con ciclo precoce, raccoglibile a circa 70 giorni dal trapianto. Ottima la resistenza alle spaccature e la sanità generale. Raggiunge il peso di 1,5-2 kg."
H083,123,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo cappuccio,Tondo tardivo,000001111110,40,0,50,90,110,giorni,3000,1000,g/unità,0,0,1,"Cavolo di ottimo vigore, a ciclo di produzione tardivo, per trapianto da giugno a fine agosto. Si raccoglie a circa 90-110 giorni dal trapianto. Pianta di facile coltivazione. Ottima la resistenza alle spaccature ed al freddo. Testa rotonda di grandi dimensioni che può superare il peso di 3 kg. Sapore dolce."
H548,682,9,Crucifere,Brassica,rapa,cymosa,Cavolo,Cavolo cinese,Mix di brassiche Orientali,001110011100,10,0,30,10,10,giorni,0,0,da taglio,0,0,0,"Miscuglio di brassiche orientali da taglio, composto da 3 ciuffi di Mizuna rossa, 3 di Red Mustard e 3 di Mizuna verde. Ultima tendenza per chi ama i super food. Ottime crude in mix con lattughe, ne esaltano il sapore ed i benefici per l’organismo. Buone anche nelle zuppe. Si effettuano diversi tagli con le stesse piantine."
H088,132,6,Crucifere,Brassica,rapa,pekinensis,Cavolo,Cavolo cinese,Pak-choi,000111111100,30,0,50,60,60,giorni,500,0,g,0,0,1,"Cavolo asiatico precoce, con pianta compatta, sempre più conosciuto e consumato anche in Italia. Le foglie sono molto simili a quelle della bietola da costa. Di color verde scuro con coste chiare dal sapore caratteristico. Il Pak-Choi è ricchissimo di sali minerali e vitamine. Il suo nome significa verdura bianca. Piace anche ai bambini."
H072,131,6,Crucifere,Brassica,rapa,pekinensis,Cavolo,Cavolo cinese,Pe-tsai,000111111100,30,0,50,60,60,giorni,1500,0,g/unità,0,0,1,"Varietà pregiata, coltivabile anche in terreni infetti da Ernia del cavolo. Si trapianta da marzo fino a settembre. Si raccoglie a circa 65 giorni dal trapianto. Maturazione precoce con foglie lunghe ed avvolgenti. Cavolo dal gusto dolce e delicato, si consuma fresco affettato o cotto. Ottima conservabilità in frigorifero."
H100,130,6,Crucifere,Brassica,oleracea,g.,Cavolo,Cavolo di Bruxelles,,000111111100,40,0,50,90,90,giorni,800,0,g/unità,0,0,1,"Bella varietà che produce un grande numero di cavoletti di elevata qualità gustativa. Si raccoglie a circa 90/120 giorni dal trapianto. La cima della pianta può essere tagliata e utilizzata in cucina quando si nota la formazione delle gemme ascellari per favorirne un rapido e maggiore ingrossamento."
H071,133,6,Crucifere,Brassica,oleracea,c.,Cavolo,Cavolo nero,Di Toscana,111111111110,40,0,50,60,90,giorni,1000,0,g/unità,0,0,1,"Cavolo tipico dell’area tirrenica. Molto rustico e di facile coltivazione, si raccoglie a circa 60 giorni dal trapianto. Maturazione precoce con foglie lunghe e strette molto scure e bollose, dal sapore intenso. Si raccoglie gradualmente quando le foglie raggiungono una dimensione adeguata. Ottimo nella ribollita tradizionale toscana."
